materia,curso_id,tipo_evaluacion_id,trimestre_id,titulo,descripcion,porcentaje_nota_final,fecha_registro
Matemáticas,1,3,10,PARTICIPACION 1,Participación en Matemáticas,1,2024-04-11
Matemáticas,1,3,10,PARTICIPACION 2,Participación en Matemáticas,1,2024-04-06
Matemáticas,1,3,10,PARTICIPACION 3,Participación en Matemáticas,1,2024-04-26
Matemáticas,1,3,10,PARTICIPACION 4,Participación en Matemáticas,1,2024-04-08
Matemáticas,1,3,10,PARTICIPACION 5,Participación en Matemáticas,1,2024-02-29
Matemáticas,1,3,11,PARTICIPACION 1,Participación en Matemáticas,1,2024-05-18
Matemáticas,1,3,11,PARTICIPACION 2,Participación en Matemáticas,1,2024-07-21
Matemáticas,1,3,11,PARTICIPACION 3,Participación en Matemáticas,1,2024-08-16
Matemáticas,1,3,11,PARTICIPACION 4,Participación en Matemáticas,1,2024-05-20
Matemáticas,1,3,11,PARTICIPACION 5,Participación en Matemáticas,1,2024-08-09
Matemáticas,1,3,12,PARTICIPACION 1,Participación en Matemáticas,1,2024-12-04
Matemáticas,1,3,12,PARTICIPACION 2,Participación en Matemáticas,1,2024-11-20
Matemáticas,1,3,12,PARTICIPACION 3,Participación en Matemáticas,1,2024-10-23
Matemáticas,1,3,12,PARTICIPACION 4,Participación en Matemáticas,1,2024-10-09
Matemáticas,1,3,12,PARTICIPACION 5,Participación en Matemáticas,1,2024-11-16
Lenguaje,1,3,10,PARTICIPACION 1,Participación en Lenguaje,1,2024-03-21
Lenguaje,1,3,10,PARTICIPACION 2,Participación en Lenguaje,1,2024-03-31
Lenguaje,1,3,10,PARTICIPACION 3,Participación en Lenguaje,1,2024-03-12
Lenguaje,1,3,10,PARTICIPACION 4,Participación en Lenguaje,1,2024-03-26
Lenguaje,1,3,10,PARTICIPACION 5,Participación en Lenguaje,1,2024-02-26
Lenguaje,1,3,11,PARTICIPACION 1,Participación en Lenguaje,1,2024-08-25
Lenguaje,1,3,11,PARTICIPACION 2,Participación en Lenguaje,1,2024-05-18
Lenguaje,1,3,11,PARTICIPACION 3,Participación en Lenguaje,1,2024-05-08
Lenguaje,1,3,11,PARTICIPACION 4,Participación en Lenguaje,1,2024-06-04
Lenguaje,1,3,11,PARTICIPACION 5,Participación en Lenguaje,1,2024-08-31
Lenguaje,1,3,12,PARTICIPACION 1,Participación en Lenguaje,1,2024-12-01
Lenguaje,1,3,12,PARTICIPACION 2,Participación en Lenguaje,1,2024-11-08
Lenguaje,1,3,12,PARTICIPACION 3,Participación en Lenguaje,1,2024-11-14
Lenguaje,1,3,12,PARTICIPACION 4,Participación en Lenguaje,1,2024-10-11
Lenguaje,1,3,12,PARTICIPACION 5,Participación en Lenguaje,1,2024-11-05
Ciencias Naturales,1,3,10,PARTICIPACION 1,Participación en Ciencias Naturales,1,2024-04-30
Ciencias Naturales,1,3,10,PARTICIPACION 2,Participación en Ciencias Naturales,1,2024-04-24
Ciencias Naturales,1,3,10,PARTICIPACION 3,Participación en Ciencias Naturales,1,2024-03-15
Ciencias Naturales,1,3,10,PARTICIPACION 4,Participación en Ciencias Naturales,1,2024-03-17
Ciencias Naturales,1,3,10,PARTICIPACION 5,Participación en Ciencias Naturales,1,2024-04-28
Ciencias Naturales,1,3,11,PARTICIPACION 1,Participación en Ciencias Naturales,1,2024-05-07
